X,Y,Z,|V|,MAx,MAy,MAz,MAv
-0.832947,3.207397,9.767426,10.314252,-0.534,3.252,9.429,9.995
-0.381851,3.305466,9.688965,10.244411,-0.465,3.217,9.66,10.195
-0.126877,3.697723,10.0224,10.683527,-0.446,3.34,9.9,10.463
-0.362228,3.59967,9.414383,10.085606,-0.426,3.453,9.723,10.332
-0.166107,2.952423,8.943665,9.419848,-0.259,3.389,9.517,10.108
-0.283783,3.364304,9.826263,10.390117,-0.235,3.404,9.552,10.145
-0.185715,3.128937,9.845871,10.332759,-0.249,3.261,9.508,10.057
-0.028809,3.364304,9.02211,9.62901,-0.166,3.202,9.409,9.943
0.343842,3.423141,9.218246,9.839319,-0.039,3.32,9.478,10.048
0.324234,3.305466,9.767426,10.316678,0.113,3.305,9.463,10.029
0.010422,3.658508,9.512451,10.191738,0.162,3.438,9.38,9.994
-0.146484,3.403534,9.159409,9.772424,0.133,3.448,9.414,10.03
-0.264175,3.658508,8.708298,9.449282,-0.019,3.507,9.287,9.933
-0.146484,2.834747,9.414383,9.832998,-0.137,3.389,9.199,9.812
0.030029,2.775909,10.081238,10.456478,-0.132,3.168,9.341,9.878
-0.068039,2.795517,8.865204,9.295772,-0.112,3.016,9.267,9.759
0.06926,2.501312,8.590622,8.947633,-0.029,2.727,9.238,9.633
-0.028809,2.775909,9.845871,10.229745,0.001,2.712,9.346,9.732
-0.028809,3.011261,9.237869,9.716313,-0.014,2.771,9.135,9.547
-0.342621,3.501602,9.002502,9.665592,-0.083,2.948,9.169,9.64
-0.499527,3.089722,9.394775,9.902409,-0.225,3.095,9.37,9.879
-0.362228,2.697449,9.473221,9.856437,-0.308,3.075,9.277,9.785
-0.85257,2.422867,9.06134,9.418336,-0.514,2.928,9.233,9.711
-0.676041,2.815125,9.355545,9.793272,-0.598,2.756,9.321,9.743
-0.813339,2.991653,9.02211,9.539915,-0.676,2.732,9.228,9.652
-1.205612,2.619003,9.865494,10.278163,-0.887,2.712,9.326,9.757
-1.185989,2.952423,9.963562,10.459252,-0.97,2.845,9.552,10.018
-1.146774,2.873978,9.159409,9.667968,-1.088,2.859,9.503,9.986
-0.734894,2.913193,8.64946,9.156414,-1.068,2.84,9.409,9.89
-0.146484,2.422867,9.885101,10.178751,-0.804,2.791,9.414,9.866
-0.048416,2.717072,10.748093,11.086312,-0.519,2.732,9.611,10.022
-0.323013,3.011261,10.0224,10.469982,-0.313,2.766,9.826,10.223
-0.617203,3.227005,9.06134,9.638589,-0.284,2.845,9.929,10.343
-0.519135,3.383911,10.0224,10.59098,-0.377,3.085,9.964,10.446
-0.8918,2.854355,9.610519,10.065025,-0.588,3.119,9.679,10.191
-0.538757,2.697449,9.159409,9.563538,-0.642,3.041,9.463,9.965
-0.440689,2.324799,9.355545,9.650135,-0.598,2.815,9.537,9.967
-0.205322,2.383636,9.414383,9.713624,-0.519,2.565,9.385,9.748
0.049652,2.658218,8.924057,9.31168,-0.284,2.516,9.213,9.56
0.128098,2.795517,8.963272,9.389972,-0.117,2.541,9.164,9.516
0.324234,3.305466,9.787033,10.335243,0.074,2.786,9.272,9.688
0.383072,3.344696,9.924332,10.479794,0.221,3.026,9.4,9.879
0.422302,3.344696,9.257477,9.852218,0.314,3.198,9.483,10.014
0.638046,3.050491,9.179016,9.693654,0.442,3.261,9.537,10.09
0.324234,2.775909,10.336212,10.707384,0.442,3.129,9.674,10.183
0.245773,2.697449,9.904709,10.268393,0.408,2.967,9.669,10.13
0.030029,3.089722,9.06134,9.57367,0.31,2.903,9.62,10.061
-0.479919,3.011261,9.237869,9.728116,0.03,2.894,9.635,10.069
-0.754501,2.795517,9.845871,10.262815,-0.24,2.898,9.512,9.958
-0.931015,2.991653,9.806656,10.295012,-0.534,2.972,9.488,9.965
-0.989853,2.991653,9.080963,9.612164,-0.789,2.948,9.493,9.975
-0.421082,3.18779,9.492828,10.02263,-0.774,2.992,9.557,10.048
-0.028809,3.070099,10.0224,10.48212,-0.593,3.06,9.601,10.103
-0.558365,2.59938,10.061615,10.406952,-0.5,2.962,9.664,10.131
-0.774109,2.775909,9.414383,9.845584,-0.446,2.908,9.748,10.189
-0.695663,2.972031,9.64975,10.120997,-0.514,2.854,9.787,10.214
-0.460297,3.697723,9.728195,10.417428,-0.622,3.011,9.713,10.198
0.422302,3.756577,9.590897,10.309001,-0.377,3.301,9.596,10.173
0.44191,3.207397,10.551956,11.037503,-0.073,3.408,9.88,10.471
0.030029,3.168167,10.159683,10.642244,0.108,3.457,10.008,10.602
-0.440689,3.089722,8.963272,9.491092,0.113,3.305,9.816,10.37
-0.832947,3.109329,9.120178,9.671576,-0.2,3.144,9.699,10.211
-0.558365,3.501602,9.708588,10.335844,-0.45,3.217,9.488,10.035
-0.323013,2.717072,9.551682,9.935866,-0.539,3.104,9.336,9.859
-0.146484,2.834747,8.924057,9.364617,-0.465,3.041,9.326,9.827
0.10849,2.873978,9.041733,9.488121,-0.23,2.982,9.307,9.781
0.128098,2.854355,9.747803,10.157924,-0.058,2.82,9.316,9.737
0.10849,2.834747,10.002777,10.397265,0.05,2.849,9.429,9.852
-0.028809,2.658218,10.159683,10.50172,0.079,2.805,9.738,10.136
0.06926,3.011261,9.532059,9.996631,0.069,2.84,9.861,10.263
-0.028809,3.14856,9.257477,9.778299,0.03,2.913,9.738,10.168
0.06926,3.070099,9.590897,10.070531,0.02,2.972,9.635,10.087
-0.166107,3.128937,9.492828,9.996581,-0.014,3.09,9.468,9.961
-0.440689,2.932816,9.728195,10.170221,-0.142,3.07,9.517,10.004
-0.283783,3.011261,9.06134,9.552806,-0.205,3.036,9.468,9.948
0.285004,3.109329,8.943665,9.47303,-0.151,3.046,9.307,9.798
0.402679,3.030884,9.355545,9.842491,-0.009,3.021,9.272,9.76
0.383072,3.442764,10.336212,10.901222,0.197,3.149,9.424,9.942
-0.028809,3.423141,10.120468,10.683754,0.26,3.252,9.689,10.225
-0.989853,3.128937,9.335922,9.895934,-0.058,3.256,9.787,10.331
-1.029083,3.14856,9.257477,9.832259,-0.416,3.286,9.763,10.328
-0.460297,2.913193,9.100571,9.566554,-0.627,3.153,9.454,9.995
-0.048416,2.736679,9.43399,9.82303,-0.632,2.982,9.282,9.779
-0.126877,2.815125,9.571289,9.977505,-0.416,2.903,9.341,9.8
0.10849,2.815125,9.590897,9.996099,-0.132,2.82,9.424,9.841
0.265396,3.305466,9.590897,10.147997,0.05,2.918,9.547,9.986
0.010422,3.540817,9.375153,10.021526,0.064,3.119,9.532,10.036
-0.107269,3.364304,9.002502,9.611197,0.069,3.256,9.39,9.944
-0.538757,3.14856,9.904709,10.407062,-0.093,3.34,9.468,10.047
-1.009476,3.52121,10.081238,10.726104,-0.411,3.394,9.591,10.191
-1.205612,3.540817,9.041733,9.784877,-0.715,3.394,9.508,10.132
-0.832947,3.266235,8.943665,9.557784,-0.897,3.369,9.493,10.119
-0.440689,3.266235,9.943939,10.475898,-0.872,3.399,9.503,10.136
-0.048416,3.089722,9.630127,10.113756,-0.632,3.291,9.39,9.983
0.10849,3.14856,9.335922,9.853154,-0.303,3.193,9.463,10
0.010422,2.913193,8.806366,9.275714,-0.093,3.104,9.429,9.93
-0.283783,2.913193,9.257477,9.709176,-0.053,3.016,9.257,9.738
-0.950638,2.952423,10.0224,10.491378,-0.279,2.982,9.356,9.832
-1.323288,2.619003,9.237869,9.692703,-0.637,2.849,9.331,9.792
-1.440964,2.913193,8.257202,8.873808,-1,2.849,9.194,9.692
